Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
Trey Cabbage,27,663550,Maj-AL,"Houston,Los Angeles",27,147,139,17,29,16,11,0,2,15,6,60,2,2,0.209,0.245,0.331,3B,
Miguel Cabrera,40,408234,Maj-AL,Detroit,40,366,330,21,85,62,19,0,4,34,31,74,0,0,0.258,0.322,0.352,1B,DET
Oswaldo Cabrera,26,665828,Maj-AL,New York,26,783,706,99,164,123,27,0,14,76,60,159,12,3,0.232,0.295,0.33,3B,NYY
Jac Caglianone,23,695506,Maj-AL,Kansas City,23,282,254,22,43,26,9,1,7,18,22,67,1,1,0.169,0.252,0.295,RF,KC
Owen Caissie,23,683357,Maj-NL,"Chicago,Miami",23,73,66,10,16,8,5,0,3,16,5,28,1,0,0.242,0.301,0.455,RF,
Kole Calhoun,35,594777,Maj-AL,Cleveland,35,174,157,18,34,21,7,0,6,25,13,37,0,1,0.217,0.282,0.376,RF,CLE
Willie Calhoun,29,641432,Maj-AL,"Los Angeles,New York",29,403,363,42,88,55,23,0,10,36,37,51,0,1,0.242,0.313,0.388,1B,
Alex Call,31,669743,Maj-NL,"Los Angeles,Washington",31,898,762,106,189,132,38,3,16,83,107,153,16,10,0.248,0.35,0.369,RF,
Tyler Callihan,25,682997,Maj-NL,Cincinnati,25,6,6,0,1,1,0,0,0,1,0,1,0,0,0.167,0.167,0.167,LF,CIN
Jair Camargo,24,665856,Maj-AL,Minnesota,24,7,6,1,0,0,0,0,0,0,1,3,0,0,0.0,0.143,0.0,C,MIN
Johan Camargo,29,622666,Maj-NL,San Francisco,29,20,18,0,4,4,0,0,0,2,1,4,0,0,0.222,0.3,0.222,3B,SF
Daz Cameron,28,663662,"Maj-AL,Maj-NL","Milwaukee,Oakland",28,228,211,29,42,29,6,1,6,18,14,64,6,0,0.199,0.25,0.322,RF,
Junior Caminero,22,691406,Maj-AL,Tampa Bay,22,931,857,118,220,125,40,1,54,138,63,185,9,1,0.257,0.308,0.495,3B,TB
Kristian Campbell,23,692225,Maj-AL,Boston,23,263,229,24,51,35,10,0,6,21,29,72,2,1,0.223,0.319,0.345,2B,BOS
Gustavo Campero,27,672569,Maj-AL,Los Angeles,27,114,104,15,21,15,1,1,4,14,5,22,7,1,0.202,0.272,0.346,OF,LAA
Luis Campusano,27,669134,Maj-NL,San Diego,27,518,478,67,121,81,24,0,16,74,34,79,0,0,0.253,0.307,0.404,C,
